01, Standard, Window, Without, Forward, No
02, Standard, Aisle, Without, Forward, No
03, Standard, Window, Without, Forward, Yes
04, Standard, Aisle, Without, Forward, Yes
05, Standard, Window, With, Forward, No
06, Standard, Aisle, With, Forward, No
07, Standard, Aisle, With, Forward, No
08, Standard, Window, With, Forward, No
09, Standard, Window, With, Backwards, No
10, Standard, Aisle, With, Backwards, No
11, Standard, Aisle, With, Backwards, No
12, Standard, Window, With, Backwards, No
13, First, Window, With, Forward, No
14, First, Aisle, With, Forward, No
15, First, Window, Without, Forward, Yes
16, First, Window, With, Backwards, No
17, First, Aisle, With, Backwards, No
18, First, Window, With, Forward, No
19, First, Window, With, Forward, No
20, First, Aisle, With, Forward, No
21, First, Window, With, Backwards, No
22, First, Window, With, Backwards, No
23, First, Aisle, With, Backwards, No
24, First, Window, With, Forward, No
25, First, Window, Without, Backwards, No
26, First, Aisle, Without, Backwards, No
27, First, Window, With, Backwards, No
28, First, Window, Without, Backwards, Yes
29, First, Aisle, Without, Backwards, Yes
30, First, Window, Without, Backwards, No
31, First, Window, Without, Backwards, No
32, Standard, Aisle, With, Forward, No
33, Standard, Window, With, Forward, No
34, Standard, Aisle, With, Backwards, No
35, Standard, Window, With, Backwards, No
36, Standard, Window, With, Forward, No
37, Standard, Aisle, With, Forward, No
38, Standard, Window, Without, Backwards, Yes
39, Standard, Aisle, Without, Backwards, Yes
40, Standard, Window, With, Backwards, No
41, Standard, Aisle, With, Backwards, No
42, Standard, Aisle, Without, Backwards, No
43, Standard, Window, Without, Backwards, No
